[session 97 finished] 10:09:33;	 mean reward = 0.3884;	 mean loss = 0.3899;	 total reward = 34.1823;	 epsilon = 0.9904
[session 98 finished] 10:09:33;	 mean reward = 1.8865;	 mean loss = 7.5440;	 total reward = 5.6594;	 epsilon = 0.9904
[session 99 finished] 10:09:33;	 mean reward = 0.5922;	 mean loss = 1.2299;	 total reward = 11.8445;	 epsilon = 0.9902
[session 100 finished] 10:09:40;	 mean reward = 0.2239;	 mean loss = 0.1727;	 total reward = 67.1558;	 epsilon = 0.9902
Model saved in path: ./checkpoints/new_catch_training_100_epochs.ckpt
[session 101 finished] 10:09:43;	 mean reward = 0.2910;	 mean loss = 0.2701;	 total reward = 37.8274;	 epsilon = 0.9900
[session 102 finished] 10:09:50;	 mean reward = 0.2194;	 mean loss = 0.0826;	 total reward = 78.9834;	 epsilon = 0.9900
[session 103 finished] 10:09:58;	 mean reward = 0.1923;	 mean loss = 0.0885;	 total reward = 69.2165;	 epsilon = 0.9898
[session 104 finished] 10:09:59;	 mean reward = 0.3592;	 mean loss = 0.4396;	 total reward = 29.4505;	 epsilon = 0.9898
[session 105 finished] 10:10:06;	 mean reward = 0.2297;	 mean loss = 0.0991;	 total reward = 82.6915;	 epsilon = 0.9896
[session 106 finished] 10:10:14;	 mean reward = 0.2321;	 mean loss = 0.0955;	 total reward = 83.5462;	 epsilon = 0.9896
[session 107 finished] 10:10:17;	 mean reward = 0.2703;	 mean loss = 0.2329;	 total reward = 49.1912;	 epsilon = 0.9894
[session 108 finished] 10:10:26;	 mean reward = 0.2237;	 mean loss = 0.1539;	 total reward = 80.3014;	 epsilon = 0.9894
[session 109 finished] 10:10:27;	 mean reward = 0.4342;	 mean loss = 0.5160;	 total reward = 27.7907;	 epsilon = 0.9892
[session 110 finished] 10:10:34;	 mean reward = 0.2419;	 mean loss = 0.1173;	 total reward = 87.0949;	 epsilon = 0.9892
[session 111 finished] 10:10:40;	 mean reward = 0.1566;	 mean loss = 0.0529;	 total reward = 56.3590;	 epsilon = 0.9890
[session 112 finished] 10:10:43;	 mean reward = 0.2640;	 mean loss = 0.2557;	 total reward = 35.6459;	 epsilon = 0.9890
[session 113 finished] 10:10:48;	 mean reward = 0.2573;	 mean loss = 0.1698;	 total reward = 73.0678;	 epsilon = 0.9888
[session 114 finished] 10:10:49;	 mean reward = 1.6568;	 mean loss = 4.6033;	 total reward = 8.2841;	 epsilon = 0.9888
[session 115 finished] 10:10:51;	 mean reward = 0.2754;	 mean loss = 0.3086;	 total reward = 35.2484;	 epsilon = 0.9886
[session 116 finished] 10:10:59;	 mean reward = 0.1993;	 mean loss = 0.0817;	 total reward = 71.7652;	 epsilon = 0.9886
[session 117 finished] 10:11:06;	 mean reward = 0.2348;	 mean loss = 0.0972;	 total reward = 84.5116;	 epsilon = 0.9884
[session 118 finished] 10:11:14;	 mean reward = 0.2215;	 mean loss = 0.0922;	 total reward = 79.7543;	 epsilon = 0.9884
[session 119 finished] 10:11:22;	 mean reward = 0.2438;	 mean loss = 0.1043;	 total reward = 87.7615;	 epsilon = 0.9882
[session 120 finished] 10:11:25;	 mean reward = 0.2540;	 mean loss = 0.2310;	 total reward = 39.8755;	 epsilon = 0.9882
[session 121 finished] 10:11:29;	 mean reward = 0.2749;	 mean loss = 0.2106;	 total reward = 58.2764;	 epsilon = 0.9880
[session 122 finished] 10:11:37;	 mean reward = 0.2434;	 mean loss = 0.0941;	 total reward = 87.6201;	 epsilon = 0.9880
[session 123 finished] 10:11:39;	 mean reward = 0.3754;	 mean loss = 0.3418;	 total reward = 37.1681;	 epsilon = 0.9878
[session 124 finished] 10:11:41;	 mean reward = 0.3141;	 mean loss = 0.3571;	 total reward = 29.2149;	 epsilon = 0.9878
[session 125 finished] 10:11:47;	 mean reward = 0.2373;	 mean loss = 0.1470;	 total reward = 77.8257;	 epsilon = 0.9876
[session 126 finished] 10:11:47;	 mean reward = 0.7090;	 mean loss = 1.3659;	 total reward = 12.7613;	 epsilon = 0.9876
[session 127 finished] 10:11:50;	 mean reward = 0.2877;	 mean loss = 0.2773;	 total reward = 40.2804;	 epsilon = 0.9874
